,Name,Rating,Genre,Release date,Runtime,Director,Link
116,Paranormal Activity: Next of Kin,65.0,"Horror, Mystery, Thriller",        10/29/2021 (US)      ,              1h 38m          ,William Eubank,https://www.themoviedb.org/movie/609972
117,Zack Snyder's Justice League,83.0,"Action, Adventure, Fantasy, Science Fiction",        03/18/2021 (IN)      ,              4h 2m          ,Zack Snyder,https://www.themoviedb.org/movie/791373
118,¡Qué despadre!,59.0,"Comedy, Family, Romance",        02/09/2022 (MX)      ,              1h 39m          ,Pedro Pablo Ibarra,https://www.themoviedb.org/movie/937337
119,Black Widow,75.0,"Action, Adventure, Science Fiction",        07/09/2021 (US)      ,              2h 14m          ,Cate Shortland,https://www.themoviedb.org/movie/497698
120,Harry Potter and the Prisoner of Azkaban,80,"Adventure, Fantasy",        06/04/2004 (IN)      ,              2h 21m          ,Alfonso Cuarón,https://www.themoviedb.org/movie/673
121,S.O.S. Mamis: La película,59.0,Comedy,        03/18/2022 (CL)      ,              1h 45m          ,Gabriela Sobarzo,https://www.themoviedb.org/movie/949218
122,Cheaper by the Dozen,63.0,"Family, Comedy",        03/18/2022 (US)      ,              1h 47m          ,Gail Lerner,https://www.themoviedb.org/movie/691683
123,Back to the Outback,76.0,"Animation, Family, Adventure, Comedy",        12/03/2021 (US)      ,              1h 32m          ,Claire Knight,https://www.themoviedb.org/movie/770254
124,Dark Spell,67.0,"Romance, Horror, Thriller",        02/11/2021 (RU)      ,              1h 32m          ,Svyatoslav Podgaevsky,https://www.themoviedb.org/movie/633802
125,Old,66.0,"Thriller, Mystery, Horror, Drama",        07/23/2021 (US)      ,              1h 48m          ,M. Night Shyamalan,https://www.themoviedb.org/movie/631843
126,Harry Potter and the Goblet of Fire,78.0,"Adventure, Fantasy, Family",        11/18/2005 (IN)      ,              2h 37m          ,Mike Newell,https://www.themoviedb.org/movie/674
127,Space Jam: A New Legacy,71.0,"Family, Animation, Comedy, Science Fiction",        07/16/2021 (US)      ,              1h 55m          ,Malcolm D. Lee,https://www.themoviedb.org/movie/379686
128,Dragon Ball Z: Resurrection 'F',68.0,"Action, Animation, Science Fiction",        04/18/2015 (JP)      ,              1h 33m          ,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
129,Meander,61.0,"Horror, Science Fiction, Drama, Thriller",        05/26/2021 (FR)      ,              1h 31m          ,Mathieu Turi,https://www.themoviedb.org/movie/523936
